Region,Country,Framework Law,Long-term Strategy  (LTS) or 2050+ CC Plan,National Adaptation Plan (NAP),Coordination Mechanism,Local-Level Risk Assessments,Fiscal Risk Statements,Budget Guidelines,CC in Budget,Project Screening,SOE TFCD Framework Compliance,"Subnational Government CC Plans and Strategies 
",Environmental Criteria in Procurement Tenders
AFRE,Mozambique,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Partial
EAP,Myanmar,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
AFRE,Namibia,No,No,No,Yes,Info not found,Yes,No,Partial,No,No,No,Partial
SAR,Nepal,Yes,Yes,Yes,Yes,Partial,Info not found,Yes,Yes,Yes,No,Yes,No
ECA,Netherlands,Yes,Yes,Yes,Partial,Yes,No,Yes,Yes,Yes,Yes,Partial,Yes
EAP,New Zealand,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
LAC,Nicaragua,No,No,No,Yes,Yes,Info not found,Info not found,Yes,Yes,No,No,No
AFRW,Niger,No,No,Yes,No,No,No,No,No,No,No,No,No
AFRW,Nigeria,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
ECA,North Macedonia,No,Yes,No,Info not found,Info not found,No,Info not found,Partial,No,No,Partial,Yes
ECA,Norway,Yes,Yes,Yes,Partial,Yes,Info not found,Yes,Yes,Yes,Yes,Yes,Yes
MNA,Oman,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
SAR,Pakistan,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
LAC,Panama,No,Yes,No,Yes,Yes,No,Info not found,No,Yes,No,No,Partial
EAP,Papua New Guinea,Yes,No,Yes,Yes,Partial,Partial,Yes,No,No,No,No,No
LAC,Paraguay,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Partial
LAC,Peru,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
EAP,Philippines,Yes,No,Yes,Yes,Partial,Yes,Yes,Yes,No,Yes,Yes,Partial
ECA,Poland,No,No,Yes,No,Partial,No,No,No,Yes,Yes,Partial,Yes
ECA,Portugal,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
MNA,Qatar,No,No,No,Yes,No,Info not found,No,No,No,No,No,No
AFRW,Republic of Congo,No,No,No,Yes,No,Yes,No,No,Partial,No,Partial,No
EAP,Republic of Korea,Yes,Yes,Yes,Yes,Yes,Info not found,Yes,No,Yes,Yes,Partial,Yes
MNA,Republic of Yemen,No,No,No,No,No,No,Info not found,No,Info not found,No,No,No
LAC,Republica Bolivariana de Venezuela,No,No,Yes,No,Yes,Info not found,Info not found,No,No,No,No,No
ECA,Romania,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
ECA,Russian Federation,Yes,Yes,Yes,Yes,No,Info not found,No,No,No,Yes,Partial,Partial
AFRE,Rwanda,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
AFRE,Sao Tome e Principe,No,No,No,Yes,No,No,No,No,No,No,Yes,No
MNA,Saudi Arabia,No,No,No,Yes,No,No,Yes,No,Info not found,No,Partial,No
AFRW,Senegal,No,No,No,Yes,No,Yes,Yes,Partial,No,No,Yes,Yes
ECA,Serbia,Yes,Yes,No,Yes,Yes,Partial,Info not found,No,No,No,Partial,Yes
AFRE,Seychelles,No,No,No,Yes,No,Yes,Yes,Partial,No,No,No,No
